rating,problem_rating,submissions,volatility,success_rate,new_rating
2066,1711,2,150,0.37,2136
2201,2920,3,104,0.61,2144
3576,3612,6,187,0.15,3405
1855,3054,4,147,0.3,1715
1871,1887,1,137,0.31,1902
2007,1212,9,91,0.62,1926
2839,1432,4,55,0.96,2886
3144,3431,8,88,0.3,2878
921,3348,4,115,0.14,749
3252,1560,4,118,0.56,3282
1481,3978,10,59,0.62,1291
640,3926,6,116,0.94,622
1204,1609,9,104,0.46,970
2055,2196,6,138,0.21,1860
3857,3129,10,169,0.56,3803
1383,2035,7,120,0.8,1316
823,3446,3,176,0.49,747
1202,3972,8,166,0.87,1150
3439,2932,10,183,0.83,3528
575,3344,7,163,0.56,421
575,837,8,102,0.27,301
1475,3889,1,97,0.06,1428
2433,2389,9,139,0.17,2138
1612,2002,6,174,0.02,1335
1795,2237,2,200,0.63,1773
969,3990,9,57,0.63,803
2303,964,4,170,0.0,2273
1131,1204,7,115,0.49,998
3907,3210,6,161,0.16,3813
1860,2546,9,167,0.74,1746
1299,3765,1,104,0.81,1290
1111,2953,10,114,0.73,976
1855,2819,7,116,0.59,1712
1834,2676,3,69,0.05,1692
3278,2081,8,106,0.76,3288
3341,1200,3,57,0.15,3270
782,1037,2,137,0.75,783
3968,2741,6,105,0.61,3956
2787,2575,4,114,0.87,2849
2841,2130,8,103,0.45,2722
1078,2513,8,79,0.66,942
2394,3108,4,142,0.88,2372
2352,585,9,78,0.01,1984
1129,1870,4,66,0.51,1032
1405,1876,5,92,0.81,1363
3531,2818,4,89,0.85,3589
622,2621,1,167,0.36,590
3561,3590,8,134,0.39,3378
3721,3318,10,57,0.75,3648
2348,2115,6,117,0.47,2282
865,3483,3,73,0.26,754
3623,1124,3,158,0.75,3743
2806,2872,6,195,0.77,2816
1884,3200,2,122,0.26,1810
659,3152,4,115,0.01,461
501,3180,4,96,0.36,373
1201,2525,3,125,0.54,1132
501,1524,10,161,0.82,411
2380,3214,1,127,0.47,2355
2156,2768,10,160,0.68,2001
3676,3540,6,185,0.73,3722
1295,2363,8,184,0.04,911
3759,1899,4,187,0.14,3774
719,984,1,171,0.64,732
3124,1617,5,118,0.32,3072
2030,2817,5,91,0.89,2003
1763,3385,2,52,0.99,1762
2482,2152,5,107,0.81,2528
588,3161,3,137,0.96,582
2134,1446,10,88,1.0,2220
1738,795,3,170,0.58,1844
3177,551,7,124,0.91,3269
3743,919,9,154,0.52,3681
2117,2553,7,177,0.28,1878
696,1153,1,67,0.62,682
2757,2261,6,150,0.12,2635
2232,1864,2,182,0.9,2384
3209,2345,6,144,0.06,3070
2639,3198,3,176,0.56,2580
3684,2257,7,86,0.92,3742
671,1644,2,117,0.69,640
1802,1539,7,70,0.31,1618
1106,2949,9,118,0.42,845
2458,2092,2,100,0.84,2531
1188,2473,2,77,0.84,1172
1166,986,8,146,0.32,1002
664,3184,1,155,0.59,644
3833,1413,6,66,0.31,3692
1850,1571,4,130,0.72,1902
3621,3971,1,164,0.98,3639
2800,3263,10,61,0.21,2409
507,1564,2,163,0.63,470
3390,2046,2,173,0.72,3535
1463,2359,1,61,0.29,1428
595,2934,10,192,0.78,485
3979,3690,1,133,0.33,4057
3493,1449,8,134,0.12,3275
1448,1430,4,168,0.67,1470
2913,2417,10,182,0.43,2800
3718,3590,4,179,0.59,3757
2711,3128,7,74,0.27,2462
2837,2045,3,108,0.9,2929
623,1769,4,108,0.53,529
3364,624,5,177,0.04,3301
3804,1358,8,162,0.66,3830
2957,1609,3,54,0.98,3008
2505,3011,1,173,0.4,2484
541,582,4,165,0.28,470
3321,3763,10,108,0.44,3049
1729,2859,8,192,0.01,1333
2749,3161,7,182,0.6,2625
1347,893,6,63,0.56,1274
1299,2260,5,142,0.32,1130
2332,772,1,188,0.61,2500
3380,3732,5,196,0.68,3323
1720,2635,7,188,0.81,1654
2793,1293,5,182,0.32,2805
1649,2491,7,147,0.53,1486
2211,2588,4,83,0.34,2088
1084,2249,9,169,0.92,1048
1960,640,6,116,0.77,2007
3264,1350,2,151,0.25,3340
596,1621,2,167,0.12,508
1074,3877,9,130,0.72,948
3228,2574,2,156,0.31,3311
3690,1403,4,174,0.98,3860
2554,651,10,152,0.46,2436
2006,3292,7,71,0.98,1999
2623,2123,7,120,0.03,2397
1077,1608,3,193,0.85,1063
823,3902,8,155,0.97,811
2311,3473,3,141,0.46,2230
1532,1159,7,57,0.23,1314
1061,746,8,59,0.04,728
3096,1078,4,168,0.62,3188
3605,2786,9,125,0.19,3364
2414,1876,7,186,0.3,2347
1043,2478,1,59,0.41,1014
2468,3419,9,50,0.55,2266
3938,2950,7,97,0.59,3891
1498,2763,5,85,0.55,1386
3276,3968,9,156,0.91,3238
2869,3508,4,164,0.77,2827
3172,3164,1,99,0.42,3194
2534,783,6,75,0.93,2588
1512,1755,4,164,0.81,1506
1295,1338,2,56,0.74,1294
1777,2547,6,100,0.11,1511
2116,1577,3,109,0.77,2186
1984,3398,3,161,0.33,1884
2954,2512,9,69,0.5,2793
1679,2605,8,160,0.72,1568
1345,2735,5,74,0.44,1205
801,874,7,140,0.14,556
2196,3940,2,70,0.83,2179
3813,568,6,69,0.81,3825
1607,587,3,97,0.78,1671
2000,2900,1,80,0.6,1980
3073,3503,10,193,0.76,2968
2933,1824,7,178,0.54,2950
606,2320,2,79,0.17,523
3981,1623,10,94,0.81,3980
2523,3281,2,116,0.04,2428
1754,1635,6,100,0.76,1748
2983,3404,10,181,0.29,2643
2317,3514,5,175,0.11,2095
2106,3476,5,90,0.58,2001
2149,3654,7,191,0.18,1862
2776,1877,8,62,0.56,2662
952,3009,3,78,0.73,912
1429,3458,7,77,0.36,1205
3327,1985,8,150,0.5,3277
2195,2775,6,50,0.75,2122
910,2522,5,138,0.45,773
2352,1121,5,115,0.07,2234
1852,1736,4,166,0.23,1808
507,2055,3,166,0.71,464
1390,738,3,170,0.52,1484
3357,838,7,184,0.89,3502
1292,2464,7,171,0.14,991
3024,573,6,163,0.78,3121
3185,1310,9,105,0.86,3227
3849,3087,1,106,0.3,3919
3830,2304,10,108,0.06,3468
2093,3433,4,91,0.94,2081
1517,2078,8,131,0.79,1438
2929,1937,5,141,0.99,3067
3613,1228,7,190,0.92,3775
1616,1295,3,187,0.48,1700
2148,3676,5,188,0.46,2013
1297,2127,2,132,0.67,1265
1209,2404,8,198,0.94,1185
1470,3109,2,174,0.78,1448
3060,573,3,155,0.39,3123
2780,2824,9,103,0.83,2749
3441,3342,3,147,0.73,3494
1790,2719,3,189,0.06,1650
2739,636,7,79,0.19,2534
1169,3927,3,88,0.15,1042
883,1241,3,82,0.44,808
3997,1866,4,62,0.4,3939
2229,2599,8,162,0.36,1990
502,3902,4,162,0.59,420
2840,3344,7,153,0.87,2802
2982,1996,2,165,0.61,3107
2657,1397,1,112,0.69,2753
2762,837,3,71,0.84,2809
1797,2492,10,104,0.74,1669
3630,687,8,188,0.76,3722
2330,815,8,177,0.03,2119
1634,3426,2,178,0.81,1615
3610,2505,9,72,0.61,3506
3625,3863,10,181,0.91,3617
723,2775,4,183,0.99,721
1460,1615,10,125,0.35,1171
2078,3201,4,127,0.22,1922
2570,1669,5,81,0.99,2648
571,2130,5,99,0.6,471
1126,1303,1,164,0.34,1136
2886,2540,3,143,0.66,2961
1393,1545,8,197,0.94,1427
753,1016,8,167,0.29,499
2249,2336,3,106,0.6,2229
2280,2919,10,78,0.45,2007
3480,1795,9,151,0.06,3208
1957,1155,8,73,0.3,1749
1079,3104,9,184,0.32,773
2332,2431,2,160,0.8,2370
735,2668,8,182,0.96,719
1819,1968,10,172,0.53,1635
1434,1950,9,190,0.57,1250
2868,1236,10,113,0.11,2536
3819,3754,3,176,0.81,3895
2330,3693,5,96,0.87,2298
2590,3414,9,125,0.79,2497
2538,3545,3,53,0.58,2475
2933,1667,5,79,0.96,3002
3927,1413,7,53,0.4,3770
2344,2450,5,88,0.67,2292
577,3841,10,132,0.87,512
3344,2331,9,186,0.43,3273
1871,1611,10,73,0.43,1646
3386,3164,8,164,0.98,3506
2446,781,1,60,0.74,2493
3656,1788,8,180,0.86,3780
3899,2650,8,116,0.67,3883
1677,2237,6,200,0.95,1670
3961,1801,8,88,0.79,3965
735,1811,8,53,0.51,539
1585,2627,10,185,0.1,1135
1390,1229,4,62,0.31,1296
2631,2259,3,120,0.91,2725
1332,1239,1,155,0.08,1384
3888,903,8,88,0.95,3956
1221,1325,7,170,0.26,1022
1664,1419,5,108,0.39,1598
3385,1187,6,141,0.4,3346
2236,931,3,180,0.39,2324
3989,786,4,143,0.53,4038
1204,1514,1,95,0.55,1195
3314,2679,4,147,0.3,3317
1232,2627,8,194,0.52,1040
2340,3962,1,124,0.83,2332
2455,3079,6,113,0.25,2233
1083,874,3,142,0.35,1095
879,1359,7,166,0.19,605
2078,1617,7,104,0.5,2000
1480,3929,6,67,0.52,1336
3751,1974,4,67,0.35,3688
1604,3230,9,186,0.26,1271
1612,1671,1,120,0.33,1628
2437,1252,2,188,0.97,2622
3219,3965,8,53,0.1,2860
2808,1245,5,134,0.35,2779
2235,2506,7,61,0.4,2036
2401,3743,8,156,0.66,2265
2238,3643,8,129,0.86,2182
2863,1195,7,160,0.51,2851
2824,1711,6,171,0.37,2806
979,2049,6,119,0.12,715
2764,2761,9,194,0.61,2686
2945,2314,4,103,0.2,2885
2006,3978,3,92,0.25,1894
3059,628,6,66,0.27,2906
1007,2007,8,142,0.07,635
2145,2936,1,67,0.9,2141
2437,3113,1,160,0.2,2400
1357,2233,7,81,0.49,1179
2610,3456,3,153,0.01,2463
3580,2091,8,82,0.04,3278
3378,1734,1,113,0.56,3469
2623,3892,4,85,0.28,2479
2863,2224,10,129,0.66,2819
1035,1644,7,54,0.09,718
1995,2333,2,175,0.79,1996
3944,3762,10,122,0.1,3584
1166,3558,5,197,0.4,1016
2262,2277,2,52,0.07,2194
929,1703,6,94,0.02,636
3146,2927,7,67,0.09,2880
733,1787,6,96,0.83,682
3119,1014,7,162,0.71,3179
1099,3370,4,115,0.68,1035
1457,2146,9,174,0.07,1042
1064,1715,5,59,0.74,1000
1247,3248,4,80,0.88,1223
744,840,2,91,0.4,717
1253,865,8,190,0.94,1401
1607,3218,4,89,0.24,1455
3178,3534,7,111,0.02,2848
1730,2657,7,120,0.02,1388
2245,1804,4,172,0.47,2298
3233,990,3,181,0.11,3280
2877,710,4,92,0.75,2919
1645,2211,10,62,0.22,1257
1857,1075,5,65,0.25,1734
2731,3298,7,131,0.1,2421
1295,2433,9,133,0.94,1268
1404,3270,3,50,0.08,1266
1138,936,4,187,0.09,1098
3589,3993,10,200,0.14,3177
2486,1624,10,127,0.55,2387
1678,3112,8,156,0.13,1330
1267,1066,5,166,0.45,1256
1154,1315,2,183,0.61,1167
1204,1198,6,143,0.14,1019
2330,3073,1,170,0.78,2321
2851,1713,7,141,0.52,2824
2434,3473,5,192,0.49,2307
2322,1620,1,146,0.11,2421
1045,2487,4,155,1.0,1045
1935,2299,6,117,0.82,1894
3708,3138,4,58,0.24,3612
937,3400,6,116,0.46,775
3250,3352,2,117,0.33,3225
995,1783,8,158,0.6,837
997,2541,10,155,0.52,757
1874,3736,4,64,0.88,1850
3656,2465,3,124,0.77,3745
3537,1047,9,152,0.12,3293
1548,3697,4,93,0.25,1398
504,3486,2,107,0.76,480
505,1967,2,162,0.13,418
3025,1228,1,160,0.16,3143
562,1334,4,82,0.06,375
1049,3788,8,171,0.67,917
3973,2796,8,147,0.58,3952
2666,1498,5,175,0.35,2678
1079,3345,3,128,0.64,1025
1443,2643,3,140,0.75,1406
2680,2548,4,87,0.04,2547
865,604,10,90,0.58,729
3173,3755,6,170,0.43,3008
2612,2697,5,121,0.19,2455
891,1680,8,61,0.0,492
1473,678,9,66,0.36,1250
3847,2825,5,141,0.02,3743
675,1715,10,117,0.56,455
1937,2184,2,115,0.96,1955
1356,1624,7,143,0.57,1231
2319,950,2,124,0.83,2426
878,3998,6,115,0.4,698
1528,1829,4,54,0.08,1352
1909,2754,8,89,0.26,1614
2252,3294,10,154,0.84,2172
3884,1014,9,133,0.7,3882
2580,2437,1,113,0.82,2650
3638,2789,9,92,0.26,3396
3604,1607,4,196,0.18,3636
992,3878,3,102,0.61,934
2028,2974,7,152,0.65,1906
2278,3225,4,121,0.49,2177
1816,1812,10,50,0.51,1596
1190,1096,3,51,0.17,1098
3419,2187,3,185,0.22,3487
3969,3423,2,138,0.34,4035
1400,1852,4,150,0.72,1354
3674,3707,8,112,0.12,3373
1906,3783,1,187,0.24,1868
3291,1518,6,90,0.88,3345
3464,1754,5,60,0.6,3424
1269,586,5,146,0.03,1170
1845,3740,4,157,0.48,1741
2387,1670,8,79,0.48,2257
687,1176,3,111,0.15,566
2396,2564,10,150,0.17,2022
2239,1366,5,118,0.01,2109
790,2331,7,86,0.63,661
1252,1383,1,70,0.14,1231
2744,2100,9,180,0.58,2731
1209,1209,6,66,0.74,1164
2888,2714,10,161,0.41,2711
1982,2871,7,168,0.75,1896
2572,3885,7,91,0.02,2229
1959,1600,10,186,0.34,1794
2037,2235,1,117,0.75,2053
2993,2962,8,130,0.68,2936
1497,3842,6,50,0.28,1281
2062,3412,7,132,0.39,1849
2848,2247,10,158,0.28,2641
2896,779,2,161,0.56,3013
1211,2122,3,142,0.64,1158
3780,2152,3,89,0.15,3741
2782,1175,2,155,0.86,2923
3768,958,6,104,0.14,3614
1735,3043,3,155,0.36,1639
3124,3383,6,174,0.54,3018
1423,2772,8,141,0.86,1367
1676,2196,10,53,0.73,1544
3791,1178,6,58,0.51,3702
3759,2286,9,200,0.56,3761
2207,895,7,136,0.19,2059
3738,2306,8,108,0.84,3782
3471,3925,10,110,0.49,3224
3233,2292,4,176,0.4,3288
1030,3859,6,180,0.27,811
724,1221,6,101,0.86,687
1785,3088,6,85,0.26,1563
2247,610,2,162,0.02,2311
1337,2066,1,199,0.02,1291
3168,2176,6,97,0.17,3016
1459,2438,10,52,0.54,1229
2503,1972,6,141,0.02,2344
1550,1154,5,164,0.88,1669
3806,1944,1,196,0.01,3952
2692,1955,5,184,0.39,2721
2492,1716,10,92,0.21,2188
946,2667,7,54,0.85,894
3093,3069,6,99,0.87,3107
668,1643,3,114,0.45,586
926,2054,8,70,0.29,642
2419,2548,3,50,0.37,2341
2105,3752,2,142,0.35,2040
2693,3106,9,147,0.36,2417
3615,2410,5,82,0.34,3532
821,3769,8,52,0.88,773
3893,3217,9,58,0.91,3909
3783,3589,3,154,0.01,3751
2285,3147,2,116,0.79,2265
2348,2255,2,114,0.52,2372
1986,509,3,179,0.93,2154
3429,1741,6,168,0.28,3381
3685,819,5,106,0.14,3576
2339,2579,2,82,0.26,2281
1052,1813,6,140,0.09,781
1748,2696,8,197,0.3,1469
1905,2324,4,107,0.26,1766
1197,2755,2,146,0.68,1165
2752,2966,2,85,0.45,2716
1493,2507,4,73,0.42,1377
524,3857,7,145,0.81,458
2781,1577,3,183,0.84,2940
2828,2730,2,102,0.78,2871
650,1128,9,117,0.14,270
2142,2952,3,53,0.2,2022
1034,1370,5,196,0.3,884
877,2904,10,129,0.23,492
2961,2359,1,180,0.43,3107
971,2118,9,55,0.89,922
1713,1286,8,146,0.26,1551
2120,2599,6,197,0.97,2123
1616,1511,1,185,0.52,1712
551,2640,3,108,0.03,406
1174,3137,9,66,0.76,1066
1175,1959,6,127,0.97,1167
1104,3115,9,177,0.0,654
2726,1841,1,128,0.78,2842
2272,2907,2,98,0.62,2236
511,3232,2,158,0.98,509
1193,2830,1,64,0.25,1156
2053,775,1,178,0.1,2186
717,3390,8,159,0.13,369
2405,3033,4,111,0.44,2296
2284,2106,6,90,0.26,2128
3440,1461,3,94,0.87,3514
3713,2324,7,192,0.81,3838
3798,3572,3,130,0.29,3794
1418,2433,8,62,0.54,1234
2082,2528,4,57,0.78,2042
2366,1588,5,193,0.33,2389
2019,1820,2,144,0.22,2050
1247,1344,10,59,0.98,1258
2986,707,7,73,0.66,2940
1485,910,5,168,0.82,1602
757,3992,7,155,0.69,649
1643,1161,1,127,0.08,1717
1664,2731,3,133,0.79,1633
878,3301,1,104,0.18,837
723,2083,7,81,0.94,702
1603,945,5,130,0.5,1605
718,630,6,113,0.18,543
2413,3461,4,153,0.0,2213
2358,3148,3,193,0.25,2248
2717,1275,1,143,0.59,2839
3569,2310,6,149,0.78,3652
544,1224,2,170,0.24,471
3566,2030,10,139,0.97,3690
3126,2572,9,134,0.92,3219
3050,1753,2,169,0.89,3208
3384,2304,3,131,0.55,3447
2947,3506,10,138,0.99,2947
1380,1485,2,140,0.72,1401
2656,3576,7,70,0.35,2429
1106,2174,3,102,0.16,980
2748,3248,10,168,0.39,2452
2966,2736,7,163,0.03,2755
3083,3011,9,52,0.01,2669
1712,2947,2,147,0.82,1694
2830,1485,3,183,0.74,2974
2551,2007,10,78,0.55,2401
2947,871,9,77,0.17,2650
1158,3526,7,196,0.4,948
3094,2312,6,130,0.17,2974
1484,3559,5,96,0.65,1397
3716,3597,9,142,0.6,3630
2043,3752,8,174,0.84,1979
944,1462,5,132,0.72,880
2821,3174,7,53,0.01,2481
2118,1863,9,65,0.51,1950
3622,3519,7,97,0.64,3558
3491,2161,6,112,0.64,3495
2635,3932,7,57,0.85,2583
1301,3761,4,185,0.79,1259
3849,947,2,91,0.85,3925
2930,3140,7,61,0.71,2843
2817,1687,6,197,0.66,2912
2416,3985,9,88,0.93,2385
2577,3585,1,187,0.44,2550
981,3775,7,112,0.19,698
2490,1242,7,184,0.19,2390
2432,1406,4,127,0.9,2539
3822,2629,7,84,0.92,3878
3846,2372,1,149,0.4,3965
3529,537,9,57,0.32,3280
2133,2782,6,102,0.5,1985
2015,1900,10,164,0.49,1868
530,2341,5,69,0.89,503
3381,1924,5,163,0.62,3449
3062,786,7,112,0.91,3142
2879,1576,5,126,0.4,2855
1034,3273,5,190,0.97,1027
2961,1847,10,171,0.6,2932
2367,2892,9,124,0.88,2319
1571,1690,5,83,0.63,1506
3309,1183,8,77,0.63,3238
1271,2038,10,186,0.05,798
3983,2142,8,86,0.17,3737
2341,2034,7,54,0.05,2055
780,3735,4,92,0.44,668
1125,2391,6,108,0.57,996
1040,2102,10,131,0.36,720
2057,3852,5,100,0.8,2007
617,1774,4,82,0.12,441
3412,1931,4,200,0.02,3416
3677,3458,6,187,0.8,3763
2228,3734,6,131,0.45,2063
2291,1122,7,105,1.0,2396
3890,2643,10,97,1.0,3987
2779,1215,10,111,0.28,2530
3217,3675,5,145,0.08,2997
1285,1130,1,96,0.88,1347
1726,1330,6,108,0.5,1674
1767,851,5,81,0.94,1833
1762,3830,3,57,0.84,1738
1186,589,5,101,0.4,1134
1006,3100,4,75,0.74,954
2535,2595,5,77,0.08,2337
2637,3053,5,63,0.29,2465
1137,1028,3,162,0.23,1127
1498,2927,8,146,0.86,1442
2241,2453,1,57,0.81,2244
2989,630,9,145,0.03,2697
3552,3177,5,130,0.3,3494
559,1779,5,122,0.84,519
2824,1534,3,112,0.58,2873
744,2157,5,68,0.74,679
1364,669,1,56,0.26,1382
1955,2678,7,143,0.17,1667
1552,801,1,118,0.03,1620
3189,1681,7,54,0.38,3026
608,2350,9,130,0.81,523
1485,3975,2,90,0.7,1455
2438,533,10,153,0.15,2166
701,2819,3,162,0.53,631
1164,2845,2,86,0.64,1128
543,934,1,147,0.55,535
1300,3945,3,160,0.75,1263
2909,3152,3,125,0.49,2857
2325,1013,10,77,0.13,1967
3904,1067,2,164,0.83,4051
2367,2281,2,115,0.6,2398
1751,953,1,110,0.05,1812
2840,3668,4,152,1.0,2841
3515,3180,9,140,0.19,3273
2828,575,5,68,0.12,2676
2213,3461,7,179,0.35,1986
2619,3447,3,184,0.43,2535
1414,1899,6,114,0.74,1343
1172,2081,6,181,0.52,1029
1464,613,9,192,0.85,1587
1146,1838,8,185,0.39,905
1823,804,1,162,0.41,1955
1701,3922,8,128,0.23,1393
2157,1333,6,179,0.52,2190
1380,2476,4,130,0.87,1354
3178,3062,8,168,0.24,2985
3396,3727,2,69,0.5,3355
2803,923,9,114,0.84,2845
700,938,5,157,0.81,684
3910,697,7,96,0.35,3778
833,2851,3,165,0.17,709
3093,2370,1,187,0.58,3256
3808,838,2,137,0.27,3872
3172,2466,10,186,0.82,3265
2010,2527,6,144,0.89,1984
1712,1481,10,86,0.63,1595
3369,2054,6,150,0.36,3327
1302,1998,5,199,0.21,1108
1344,2428,7,135,0.19,1061
1268,1153,1,134,0.48,1330
2419,3742,5,70,0.27,2237
2314,3396,1,171,0.9,2309
1141,3715,1,53,0.34,1108
2387,831,8,159,0.17,2214
2138,2956,5,128,0.65,2052
1983,3664,6,183,0.36,1791
2027,3172,6,88,0.67,1928
3922,3387,5,168,1.0,4083
2581,1019,7,93,0.92,2646
1955,2621,4,168,0.78,1915
2263,3830,8,123,0.67,2131
2993,664,3,142,0.5,3060
985,581,6,122,0.6,976
3381,2271,1,147,0.62,3509
982,3042,4,164,0.81,944
3969,2067,9,179,0.8,4058
1862,3293,5,99,0.49,1735
3839,2697,10,144,0.96,3963
1995,3727,1,73,0.5,1970
2026,1311,7,144,0.24,1902
2193,1861,9,107,0.84,2214
3726,3896,5,95,0.58,3647
2247,2397,1,136,0.81,2278
2731,3932,1,64,0.59,2711
3160,812,5,68,0.43,3085
2934,2204,2,145,0.81,3058
3838,2369,6,74,0.3,3702
3956,3456,4,62,0.66,3947
2211,1486,8,91,0.58,2133
2957,2333,3,141,0.77,3060
2095,3646,1,173,0.82,2086
1039,3149,1,99,0.06,992
3980,1462,4,200,0.08,3996
2419,1532,9,118,0.34,2239
3529,901,2,57,0.78,3564
3895,3107,7,97,0.73,3896
1156,3003,4,71,0.58,1072
3010,3361,7,128,0.55,2867
3236,916,7,188,0.7,3319
2059,3416,1,103,0.53,2036
3646,3531,1,170,0.39,3728
2624,1560,6,69,0.16,2441
1340,1141,7,120,0.52,1263
1959,2783,4,109,0.7,1900
715,2454,4,154,0.15,545
2976,600,5,163,0.04,2899
1719,3165,10,152,0.6,1519
1138,2350,8,156,0.34,874
1299,798,10,53,0.57,1134
1230,2432,10,149,0.12,790
3363,1704,2,171,0.04,3438
759,2580,6,132,0.1,489
1612,2867,10,82,0.46,1342
3409,1311,3,121,0.44,3446
2458,2873,2,191,0.29,2403
3859,3003,6,144,0.5,3852
772,2356,6,64,0.38,586
1659,1924,5,59,0.0,1420
3610,2810,8,97,0.69,3582
1861,3853,1,109,0.23,1823
1717,1889,4,59,0.68,1669
2835,561,4,150,0.7,2925
2082,3460,1,131,0.73,2069
3923,919,2,50,0.96,3969
2935,1109,9,158,0.41,2827
1170,3050,9,77,0.93,1139
732,2385,6,106,0.11,465
2851,1869,1,186,0.32,3002
3666,1012,6,199,0.31,3658
798,2241,1,104,0.31,764
691,1972,5,200,0.12,471
558,3490,8,170,0.66,422
2932,3691,7,56,0.42,2730
3569,1174,2,163,0.16,3648
2758,2821,8,101,0.92,2767
2106,2029,9,93,0.54,1956
3506,3751,1,50,0.5,3491
3320,620,10,139,0.4,3159
1614,1382,4,111,0.08,1518
1339,1340,5,90,0.06,1149
3341,3543,7,135,0.54,3212
3418,1122,1,178,0.1,3551
1781,3866,6,198,0.59,1658
1163,3727,3,66,0.5,1088
3638,2811,1,84,0.12,3677
2214,3891,8,56,0.41,1978
3311,1699,6,106,0.7,3327
1140,2606,10,169,0.31,795
3649,3939,9,168,0.84,3604
2737,3234,5,106,0.71,2670
2489,3221,3,96,0.01,2342
3274,3527,1,195,0.61,3291
3294,2518,10,89,0.07,2917
3588,3395,8,99,0.35,3402
2890,2840,6,122,0.01,2663
1397,2078,9,64,0.45,1151
2230,3837,3,152,0.77,2196
2642,3047,3,190,0.62,2602
1053,1575,6,156,0.61,943
992,1888,5,61,0.22,797
2363,2990,4,97,0.61,2288
3665,2077,7,153,0.03,3478
1299,1892,6,156,0.43,1133
2434,3887,10,99,0.32,2094
1817,554,4,113,0.7,1870
1120,3396,10,162,0.21,725
1698,1166,7,86,0.71,1679
613,3878,3,162,0.47,534
1262,2354,1,160,0.72,1248
2290,651,1,177,0.19,2426
3554,1847,1,119,0.28,3637
798,2298,5,177,0.1,573
706,1465,6,110,0.2,467
2964,1623,1,196,0.8,3150
1016,2964,4,170,0.26,868
2700,1496,2,60,0.97,2757
1897,2318,5,68,0.19,1700
582,2565,6,196,0.81,525
2227,1447,6,140,0.16,2113
3027,1800,7,173,0.08,2878
1212,3710,8,171,0.91,1176
3296,2354,10,190,0.37,3170
3875,959,3,67,0.7,3897
3632,2139,10,171,0.67,3638
2380,1419,5,176,0.86,2520
3524,1360,2,64,0.79,3567
3513,3045,3,60,0.21,3451
2812,1654,6,90,0.88,2866
3485,3195,10,102,0.87,3506
1331,3699,4,118,0.14,1159
826,3769,9,137,0.8,736
810,3541,3,109,0.65,758
3905,871,3,174,0.19,3957
1198,695,8,91,0.9,1244
2752,3041,3,184,0.38,2688
3707,2282,10,165,0.55,3647
3546,1476,1,69,0.11,3570
1802,3826,7,119,0.11,1491
1408,3956,4,95,0.58,1324
3616,1060,6,197,0.74,3735
3783,2114,7,77,0.93,3835
3939,2744,2,164,0.89,4092
2469,2346,9,69,0.93,2484
2936,1735,7,76,0.1,2697
2461,3614,2,150,0.95,2456
2563,1965,1,152,0.59,2690
1533,2623,8,125,0.04,1149
2385,2567,5,190,0.62,2339
697,2964,3,66,0.56,631
3253,3452,6,161,0.5,3142
3912,1920,9,183,0.6,3915
1323,658,1,191,0.51,1485
531,3675,1,183,0.01,482
1291,1555,3,150,0.56,1252
620,1246,5,179,0.09,397
3985,1994,5,120,0.04,3865
589,849,6,57,0.34,401
3809,1122,10,179,0.86,3918
2329,1744,2,84,0.66,2376
2947,791,4,166,0.75,3063
2901,614,8,101,0.55,2822
2464,3519,7,100,0.82,2401
3860,1000,10,136,0.71,3851
1491,736,3,78,0.32,1466
3563,2130,1,193,0.06,3709
1213,1176,8,180,0.84,1249
1922,2813,4,62,0.44,1810
2934,2310,5,78,0.69,2932
3800,1589,3,163,0.26,3852
1125,2745,8,188,0.42,893
2448,3191,4,69,0.24,2297
2300,1759,9,90,0.52,2170
3428,3130,4,122,0.03,3337
3523,1036,6,192,0.64,3607
3143,3807,10,158,0.54,2916
3957,1186,10,98,0.49,3800
2936,3615,10,52,0.97,2922
3768,3199,3,165,0.49,3850
2981,3176,10,187,0.85,2952
1529,3524,1,95,0.37,1498
1770,3679,1,159,0.07,1724
3131,3744,4,187,0.77,3090
1394,1280,1,131,0.27,1444
3701,1359,5,54,0.75,3692
3642,2645,4,113,0.74,3703
1490,3194,2,168,0.02,1392
2596,3976,6,52,0.21,2359
2448,3306,2,79,0.67,2416
651,3324,5,51,0.77,594
3679,3534,10,181,0.1,3355
1117,1392,3,114,0.79,1105
1732,1369,9,176,0.36,1601
3983,3561,10,105,0.35,3754
3918,1771,5,149,0.28,3887
665,3366,10,160,0.56,445
3974,3156,2,116,0.45,4034
1203,974,5,184,0.13,1131
3246,3110,6,53,0.55,3147
3435,3408,3,105,0.43,3406
1149,1328,1,196,0.87,1194
2798,3304,2,107,0.29,2733
1677,3084,7,75,0.29,1429
1042,974,7,131,0.93,1096
763,3953,6,88,0.32,559
2244,1283,5,133,0.2,2176
1919,1586,10,196,0.6,1890
3113,2806,4,123,0.17,3052
3992,2956,2,50,0.34,3976
3786,1081,7,118,0.38,3687
3505,1482,6,183,0.67,3589
1581,2548,8,185,0.7,1462
841,3542,7,69,0.81,775
1798,3348,7,64,0.32,1560
1810,508,7,97,0.71,1805
1325,2809,4,174,0.76,1277
1401,3597,10,149,0.82,1311
2665,908,5,122,0.62,2692
568,676,9,83,0.68,453
1320,2568,10,71,0.72,1180
1402,1960,9,51,0.83,1327
1073,588,7,55,0.24,859
2551,3376,2,63,0.87,2539
